contest_id,date,election,state,seat,seat_type,seat_no,seat_name,seat_key,year,win_candidate_uid,win_name,win_party_uid,win_party,win_coalition_uid,win_coalition,win_votes,win_votes_perc,win_result,run_party_uid,run_party,run_coalition_uid,run_coalition,run_votes,run_votes_perc,voters_total,votes_valid,majority,n_candidates,voter_turnout,majority_perc,margin_perc,uncontested
1990-10-20|Selangor|N.42 Batu Laut,1990-10-20,SE-08,Selangor,N.42 Batu Laut,state,42,Batu Laut,state|Selangor|batu laut,1990,KWM58,Samiran (Sairon) bin Abdul Hamid,001-UMNO,UMNO,001-BN,BN,6921,62.27280906964189,won,062-S46,S46,005-APU,APU,4193.0,37.727190930358105,14502,11114,2728,2,79.17528616742518,24.545618139283786,24.545618139283782,False
1990-10-20|Selangor|P.082 Sabak Bernam,1990-10-20,GE-08,Selangor,P.082 Sabak Bernam,federal,082,Sabak Bernam,federal|Selangor|sabak bernam,1990,Q1C5X,Mahbud bin Hashim,001-UMNO,UMNO,001-BN,BN,17715,77.4189319115462,won,004-PAS,PAS,005-APU,APU,5167.0,22.581068088453808,33761,22882,12548,2,70.74731198720417,54.83786382309239,54.83786382309239,False
1990-10-20|Selangor|P.083 Tanjong Karang,1990-10-20,GE-08,Selangor,P.083 Tanjong Karang,federal,083,Tanjong Karang,federal|Selangor|tanjong karang,1990,TF286,Saidin (Yusof) bin Adam,001-UMNO,UMNO,001-BN,BN,15468,68.2642658546273,won,004-PAS,PAS,005-APU,APU,7191.0,31.735734145372703,32910,22659,8277,2,71.99635369188697,36.5285317092546,36.528531709254594,False
1990-10-20|Selangor|P.084 Hulu Selangor,1990-10-20,GE-08,Selangor,P.084 Hulu Selangor,federal,084,Hulu Selangor,federal|Selangor|hulu selangor,1990,XWRAF,Palanivel a/l K. Govindasamy,002-MIC,MIC,001-BN,BN,20839,63.7356251529239,won,062-S46,S46,005-APU,APU,11857.0,36.2643748470761,46933,32696,8982,2,73.70080753414442,27.47125030584781,27.471250305847803,False
1990-10-20|Selangor|P.085 Kuala Selangor,1990-10-20,GE-08,Selangor,P.085 Kuala Selangor,federal,085,Kuala Selangor,federal|Selangor|kuala selangor,1990,QRD5A,Abu Hassan bin Omar,001-UMNO,UMNO,001-BN,BN,17964,67.86038077969175,won,064-IPF,IPF,006-GR,GR,8508.0,32.139619220308255,36695,26472,9456,2,75.07017304809919,35.720761559383504,35.7207615593835,False
1990-10-20|Selangor|P.086 Kapar,1990-10-20,GE-08,Selangor,P.086 Kapar,federal,086,Kapar,federal|Selangor|kapar,1990,XRZ50,Masilamane a/l Muthukrishnen (M. Mahalingam),002-MIC,MIC,001-BN,BN,22038,58.22610901212714,won,062-S46,S46,005-APU,APU,15811.0,41.77389098787286,53280,37849,6227,2,73.87387387387388,16.45221802425427,16.45221802425428,False
1990-10-20|Selangor|P.087 Selayang,1990-10-20,GE-08,Selangor,P.087 Selayang,federal,087,Selayang,federal|Selangor|selayang,1990,PBBRB,Zaleha binti Ismail,001-UMNO,UMNO,001-BN,BN,51062,71.93654729368009,won,021-DAP,DAP,006-GR,GR,19920.0,28.063452706319914,100488,70982,31142,2,73.44260011145609,43.87309458736018,43.87309458736018,False
1990-10-20|Selangor|P.088 Ampang Jaya,1990-10-20,GE-08,Selangor,P.088 Ampang Jaya,federal,088,Ampang Jaya,federal|Selangor|ampang jaya,1990,85THA,Ong Tee Keat,003-MCA,MCA,001-BN,BN,39304,60.228630972447824,won,062-S46,S46,005-APU,APU,25954.0,39.771369027552176,89112,65258,13350,2,75.15373911482179,20.457261944895645,20.45726194489565,False
1990-10-20|Selangor|P.089 Hulu Langat,1990-10-20,GE-08,Selangor,P.089 Hulu Langat,federal,089,Hulu Langat,federal|Selangor|hulu langat,1990,5AP8V,Lee Kim Sai,003-MCA,MCA,001-BN,BN,28174,60.38536554000472,won,021-DAP,DAP,006-GR,GR,18483.0,39.61463445999529,64264,46657,9691,2,76.59187103199304,20.77073108000943,20.770731080009433,False
1990-10-20|Selangor|P.090 Petaling Jaya,1990-10-20,GE-08,Selangor,P.090 Petaling Jaya,federal,090,Petaling Jaya,federal|Selangor|petaling jaya,1990,BKGKK,Kua Kia Soong,021-DAP,DAP,006-GR,GR,40685,62.19046163252828,won,003-MCA,MCA,001-BN,BN,24735.0,37.80953836747173,98383,65420,15950,2,67.87351473323643,24.38092326505656,24.380923265056552,False
