date,state,seat,trigger,notes
2001-07-21,Sabah,N.13 Likas,voided_by_court,Petition alleging phantom voters upheld
2002-01-19,Perlis,N.08 Indera Kayangan,death,
2002-04-01,Pahang,N.29 Ketari,death,
2002-07-18,Kedah,P.011 Pendang,death,
2002-07-18,Kedah,N.15 Anak Bukit,death,
2002-10-12,Sabah,P.121 Gaya,voided_by_court,Petition alleging corrupt practices upheld
2004-08-28,Terengganu,N.23 Kuala Berang,death,
2004-09-18,Sarawak,N.70 Ba'kelalan,death,
2005-12-06,Kelantan,N.12 Pengkalan Pasir,death,
2007-01-28,Pahang,N.06 Batu Talam,death,
2007-04-12,Melaka,N.08 Machap,death,
2007-04-28,Selangor,N.11 Ijok,death,
2008-08-26,Pulau Pinang,P.044 Permatang Pauh,resignation,Resigned to give way to Anwar
2009-01-17,Terengganu,P.036 Kuala Terengganu,death,
2009-04-07,Kedah,N.25 Bukit Selambau,resignation,
2009-04-07,Sarawak,N.29 Batang Air,death,
2009-04-07,Perak,P.059 Bukit Gantang,death,
2009-05-31,Pulau Pinang,N.12 Penanti,resignation,
2009-07-14,Kelantan,N.41 Manek Urai,death,
2009-08-25,Pulau Pinang,N.11 Permatang Pasir,death,
2009-10-11,Negeri Sembilan,N.31 Bagan Pinang,death,
2010-04-25,Selangor,P.094 Hulu Selangor,death,
2010-05-16,Sarawak,P.212 Sibu,death,
2010-11-04,Kelantan,N.45 Galas,death,
2010-11-04,Sabah,P.185 Batu Sapi,death,
2011-01-30,Johor,N.05 Tenang,death,
2011-03-06,Melaka,N.27 Merlimau,death,
2011-03-06,Pahang,N.28 Kerdau,death,
2013-07-24,Terengganu,N.01 Kuala Besut,death,
2013-11-04,Kedah,N.20 Sungai Limau,death,
2014-03-23,Selangor,N.25 Kajang,resignation,Resigned to give way to Wan Azizah
2014-03-29,Sarawak,N.51 Balingian,resignation,Resigned to take another appointment
2014-05-25,Pulau Pinang,P.051 Bukit Gelugor,death,
2014-05-31,Perak,P.076 Telok Intan,death,
2014-09-25,Kelantan,N.01 Pengkalan Kubor,death,
2015-03-22,Kelantan,N.06 Chempaka,death,
2015-05-05,Pahang,P.091 Rompin,death,
2015-05-07,Pulau Pinang,P.044 Permatang Pauh,criminal_conviction,Disqualified after being convicted of sodomy
2016-06-18,Perak,P.067 Kuala Kangsar,death,
2016-06-18,Selangor,P.093 Sungai Besar,death,
2017-02-18,Sarawak,N.03 Tanjong Datu,death,
2018-08-04,Selangor,N.49 Sungai Kandis,death,
2018-09-08,Selangor,N.27 Balakong,death,
2018-09-08,Selangor,N.32 Seri Setia,death,
2018-10-13,Negeri Sembilan,P.132 Port Dickson,resignation,Resigned to give way to Anwar
2019-01-26,Pahang,P.078 Cameron Highlands,voided_by_court,Petition alleging corrupt practices upheld
2019-03-02,Selangor,N.24 Semenyih,death,
2019-04-13,Negeri Sembilan,N.27 Rantau,voided_by_court,Petition alleging improper nomination procedures upheld
2019-05-11,Sabah,P.186 Sandakan,death,
2019-11-16,Johor,P.165 Tanjung Piai,death,
2020-01-18,Sabah,P.176 Kimanis,voided_by_court,Petition alleging improper vote tallying upheld
2020-07-04,Pahang,N.23 Chini,death,
2020-08-29,Perak,N.58 Slim,death,
2022-11-19,Sabah,N.66 Bugaya,death,
2023-08-12,Terengganu,P.036 Kuala Terengganu,voided_by_court,Petition alleging corrupt practices upheld
2023-09-09,Johor,N.13 Simpang Jeram,death,
2023-09-09,Johor,P.161 Pulai,death,
2023-10-07,Pahang,N.36 Pelangai,death,
2023-11-04,Sarawak,N.67 Jepak,death,
2023-12-02,Terengganu,P.040 Kemaman,voided_by_court,Petition alleging corrupt practices upheld
2024-05-11,Selangor,N.06 Kuala Kubu Baharu,death,
2024-07-06,Pulau Pinang,N.20 Sungai Bakap,death,
2024-08-17,Kelantan,N.43 Nenggiri,anti_hopping,
2024-09-28,Johor,N.29 Mahkota,death,
2025-04-26,Perak,N.48 Ayer Kuning,death,
2026-01-24,Sabah,P.187 Kinabatangan,death,
2026-01-24,Sabah,N.58 Lamag,death,
